manufacturerTitle,,manufacturerTitle,idRetailerSKU,variation,price_diff
Pilha Recarregável Elgin AAA-900 mAh Cartela com 4 unds,152614,Pilha Recarregável Elgin AAA-900 mAh Cartela com 4 unds,876158,-67.95,-46.620000000000005
Micro-ondas Brastemp 32 Litros Branco com Menu Gourmet - BMS46AB- 127V,136611,Micro-ondas Brastemp 32 Litros Branco com Menu Gourmet - BMS46AB- 127V,1897614,-30.15,-99.00999999999999
Carregador de Pilhas USB Elgin com Cabo Alim 5V 1A,152127,Carregador de Pilhas USB Elgin com Cabo Alim 5V 1A,1215161,-30.0,-42.85000000000001
Cooktop A Gás Consul 5 Bocas com Vidro Temperado Preto e Acendimento Super Automático Controle Fácil CD075AE Bivolt,246816,Cooktop A Gás Consul 5 Bocas com Vidro Temperado Preto e Acendimento Super Automático Controle Fácil CD075AE Bivolt,498669,-28.25,
Fogão Consul 4 Bocas Branco com Acendimento Automático Design Frente Única CFO4NAB Bivolt,68090,Fogão Consul 4 Bocas Branco com Acendimento Automático Design Frente Única CFO4NAB Bivolt,498748,-25.36,-249.01
"Liquidificador Turbo Mix Elgin 1,6L 220V",154460,"Liquidificador Turbo Mix Elgin 1,6L 220V",861798,-24.96,-39.91000000000001
"Liquidificador Turbo Mix Elgin 1,6L 127V",153620,"Liquidificador Turbo Mix Elgin 1,6L 127V",861800,-24.96,-39.91000000000001
Cooktop 4 bocas Brastemp com Grades Piatina e Acendimento Automático - BDD61AE Bivolt,168171,Cooktop 4 bocas Brastemp com Grades Piatina e Acendimento Automático - BDD61AE Bivolt,498639,-21.32,-149.01
Pilha Alcalina Elgin D Cartela com 2 unds,124689,Pilha Alcalina Elgin D Cartela com 2 unds,876146,-21.31,-4.600000000000001
Forno a Gás de Embutir Consul - COA84BR 220V,115509,Forno a Gás de Embutir Consul - COA84BR 220V,498796,-19.4,-249.01
